user_id,matched_user_id,text_similarity,mbti_score,location_score,compatibility_score,action,timestamp
U001,U006,3.0,10.0,100.0,24.5,0,2025-04-30
U001,U065,1.37,55.0,100.0,37.18,0,2025-05-13
U001,U020,41.58,30.0,10.0,31.79,0,2025-03-15
U001,U002,3.22,30.0,100.0,30.61,1,2025-05-25
U001,U030,86.81,45.0,10.0,58.91,0,2025-06-21
U001,U075,3.57,30.0,10.0,12.79,0,2025-02-19
U001,U012,0.22,30.0,50.0,19.11,0,2025-02-11
U001,U036,15.03,75.0,10.0,32.02,0,2025-02-15
U001,U014,15.89,45.0,50.0,31.44,1,2025-02-13
U001,U057,12.97,55.0,50.0,32.98,0,2025-05-20
U001,U067,4.28,45.0,10.0,17.64,1,2025-05-31
U001,U033,4.19,30.0,50.0,21.09,0,2025-04-09
U001,U011,9.08,55.0,10.0,23.04,1,2025-04-15
U001,U047,2.24,30.0,50.0,20.12,0,2025-05-21
U001,U007,14.77,75.0,10.0,31.88,1,2025-06-29
U001,U024,2.08,30.0,50.0,20.04,0,2025-04-05
U001,U059,6.21,45.0,10.0,18.61,1,2025-05-23
U001,U052,32.88,75.0,10.0,40.94,0,2025-03-25
U001,U035,34.08,75.0,10.0,41.54,1,2025-05-18
U001,U041,3.97,10.0,10.0,6.99,1,2025-06-13
U001,U072,1.24,45.0,50.0,24.12,0,2025-06-30
U001,U018,2.95,45.0,10.0,16.97,1,2025-07-08
U001,U037,6.65,100.0,50.0,43.32,1,2025-01-21
U001,U046,8.98,100.0,10.0,36.49,1,2025-05-02
U001,U063,3.33,45.0,50.0,25.16,0,2025-03-04
U001,U009,3.41,10.0,10.0,6.7,0,2025-06-05
U001,U058,2.49,45.0,10.0,16.75,0,2025-06-18
U002,U011,8.65,45.0,10.0,19.82,1,2025-06-19
U002,U022,4.37,45.0,10.0,17.68,1,2025-06-06
U002,U014,5.48,30.0,50.0,21.74,0,2025-02-11
U002,U015,49.06,45.0,10.0,40.03,1,2025-05-08
U002,U071,45.48,45.0,100.0,56.24,0,2025-04-28
U002,U016,5.45,45.0,10.0,18.22,0,2025-01-30
U002,U050,2.24,30.0,10.0,12.12,0,2025-03-11
U002,U054,3.82,65.0,10.0,23.41,1,2025-02-27
U002,U044,2.73,45.0,10.0,16.87,1,2025-02-24
